Time[s],sma::BMS_UIT::bat_i[A],sma::BMS_UIT::bat_u[V],sma::SMA_UI::inv_i[A],sma::SMA_UI::inv_u[V],sma::BMS_UIT::bat_ready
0.013140,0.000000,347.100000,,,3.000000
0.037910,,,0.000000,347.100000,
0.113090,0.000000,347.100000,,,3.000000
0.137980,,,0.000000,347.100000,
0.213080,0.000000,347.100000,,,3.000000
0.237950,,,0.000000,347.100000,
0.313070,0.000000,347.100000,,,3.000000
0.337910,,,0.000000,347.100000,
0.413820,0.000000,347.100000,,,3.000000
0.437880,,,0.000000,347.100000,
0.513120,0.000000,347.100000,,,3.000000
0.537850,,,0.000000,347.100000,
0.613150,0.000000,347.100000,,,3.000000
0.637730,,,0.000000,347.100000,
0.713120,0.000000,347.100000,,,3.000000
0.737780,,,0.000000,347.100000,
0.813110,-0.100000,347.100000,,,3.000000
0.837750,,,0.000000,347.100000,
0.913070,0.000000,347.100000,,,3.000000
0.937710,,,0.000000,347.100000,
1.013830,0.000000,347.100000,,,3.000000
1.037680,,,0.000000,347.100000,
1.113140,0.000000,347.100000,,,3.000000
1.137650,,,0.000000,347.100000,
1.213240,0.000000,347.100000,,,3.000000
1.237520,,,0.000000,347.100000,
1.313120,0.000000,347.100000,,,3.000000
1.337740,,,0.000000,347.100000,
1.413050,0.000000,347.100000,,,3.000000
1.437700,,,0.000000,347.100000,
1.513090,0.000000,347.100000,,,3.000000
1.537670,,,0.000000,347.100000,
1.613830,0.000000,347.100000,,,3.000000
1.637640,,,0.000000,347.100000,
1.713070,0.000000,347.100000,,,3.000000
1.737600,,,0.000000,347.100000,
1.813050,0.000000,347.100000,,,3.000000
1.837450,,,0.000000,347.100000,
1.913040,0.000000,347.100000,,,3.000000
1.937530,,,0.000000,347.100000,
2.013050,0.000000,347.100000,,,3.000000
2.037500,,,0.000000,347.100000,
2.113050,0.000000,347.100000,,,3.000000
2.137470,,,0.000000,347.100000,
2.213730,0.000000,347.100000,,,3.000000
2.237430,,,0.000000,347.100000,
2.313030,0.000000,347.100000,,,3.000000
2.337400,,,0.000000,347.100000,
2.413020,0.000000,347.100000,,,3.000000
2.437370,,,0.000000,347.100000,
2.513060,0.000000,347.100000,,,3.000000
2.537430,,,0.000000,347.100000,
2.613100,0.000000,347.100000,,,3.000000
2.637400,,,0.000000,347.100000,
2.713010,0.000000,347.100000,,,3.000000
2.737360,,,0.000000,347.100000,
2.813710,0.000000,347.100000,,,3.000000
2.837310,,,0.000000,347.100000,
2.913040,0.000000,347.100000,,,3.000000
2.937280,,,0.000000,347.100000,
3.013040,-0.100000,347.100000,,,3.000000
3.037160,,,0.000000,347.100000,
3.113050,0.000000,347.100000,,,3.000000
3.137210,,,0.000000,347.100000,
3.213100,0.000000,347.100000,,,3.000000
3.237190,,,0.000000,347.100000,
3.313000,0.000000,347.100000,,,3.000000
3.337160,,,0.000000,347.100000,
3.413760,0.000000,347.100000,,,3.000000
3.437250,,,0.000000,347.100000,
3.513030,0.000000,347.100000,,,3.000000
3.537220,,,0.000000,347.100000,
3.613060,0.000000,347.100000,,,3.000000
3.637090,,,0.000000,347.100000,
3.713220,0.000000,347.100000,,,3.000000
3.737150,,,0.000000,347.100000,
3.813080,0.000000,347.100000,,,3.000000
3.837120,,,0.000000,347.100000,
3.913010,0.000000,347.100000,,,3.000000
3.937080,,,0.000000,347.100000,
4.013710,0.000000,347.100000,,,3.000000
4.037050,,,0.000000,347.100000,
4.113010,0.000000,347.100000,,,3.000000
4.137020,,,0.000000,347.100000,
4.213100,0.000000,347.100000,,,3.000000
4.236890,,,0.000000,347.100000,
4.313050,0.000000,347.100000,,,3.000000
4.336950,,,0.000000,347.100000,
4.413040,0.000000,347.100000,,,3.000000
4.436920,,,0.000000,347.100000,
4.513010,0.000000,347.100000,,,3.000000
4.537010,,,0.000000,347.100000,
4.613780,0.000000,347.100000,,,3.000000
4.636970,,,0.000000,347.100000,
4.713090,0.000000,347.100000,,,3.000000
4.736940,,,0.000000,347.100000,
4.813030,0.000000,347.100000,,,3.000000
4.836830,,,0.000000,347.100000,
4.912980,0.000000,347.100000,,,3.000000
4.936890,,,0.000000,347.100000,
5.013210,0.000000,347.100000,,,3.000000
5.036860,,,0.000000,347.100000,
5.113050,0.000000,347.100000,,,3.000000
5.136860,,,0.000000,347.100000,
5.213750,0.000000,347.100000,,,3.000000
5.236910,,,0.000000,347.100000,
5.313010,0.000000,347.100000,,,3.000000
5.336880,,,0.000000,347.100000,
5.413010,0.000000,347.100000,,,3.000000
5.436820,,,0.000000,347.100000,
5.513080,0.000000,347.100000,,,3.000000
5.536850,,,0.000000,347.100000,
5.613070,0.000000,347.100000,,,3.000000
5.636900,,,0.000000,347.100000,
5.712950,0.000000,347.100000,,,3.000000
5.736870,,,0.000000,347.100000,
5.813700,0.000000,347.100000,,,3.000000
5.836850,,,0.000000,347.100000,
5.913010,0.000000,347.100000,,,3.000000
5.936840,,,0.000000,347.100000,
