Time[s],sma::BMS_UIT::bat_i[A],sma::BMS_UIT::bat_u[V],sma::SMA_UI::inv_i[A],sma::SMA_UI::inv_u[V],sma::BMS_UIT::bat_ready
33.395600,0.000000,347.200000,,,2.000000
33.405740,0.000000,347.200000,,,2.000000
33.414940,0.000000,347.200000,,,2.000000
33.454650,0.000000,347.200000,,,2.000000
33.554690,0.000000,347.100000,,,2.000000
33.654670,0.000000,347.100000,,,2.000000
33.754730,0.000000,347.100000,,,2.000000
33.854850,0.000000,347.100000,,,2.000000
33.954670,0.000000,347.100000,,,2.000000
34.055990,0.000000,347.100000,,,2.000000
34.154720,0.000000,347.100000,,,2.000000
34.255540,0.000000,347.100000,,,2.000000
34.354680,0.000000,347.200000,,,2.000000
34.454700,0.000000,347.100000,,,2.000000
34.554730,0.000000,347.100000,,,2.000000
34.654690,0.000000,347.100000,,,2.000000
34.754620,0.000000,347.100000,,,2.000000
34.855360,0.000000,347.100000,,,2.000000
34.954630,0.000000,347.200000,,,2.000000
34.988610,,,0.000000,0.300000,
35.054660,0.000000,347.100000,,,2.000000
35.088550,,,0.000000,0.300000,
35.154730,0.000000,347.100000,,,2.000000
35.189290,,,0.000000,0.300000,
35.254720,0.000000,347.100000,,,2.000000
35.289280,,,0.000000,0.300000,
35.354690,0.000000,347.100000,,,2.000000
35.389250,,,0.000000,0.300000,
35.455350,0.000000,347.100000,,,2.000000
35.489230,,,0.000000,0.300000,
35.555770,0.000000,347.100000,,,2.000000
35.588640,,,0.000000,0.300000,
35.654610,0.000000,347.100000,,,2.000000
35.688540,,,0.000000,0.300000,
35.754720,0.000000,347.100000,,,2.000000
35.791740,,,0.000000,0.300000,
35.854670,0.000000,347.100000,,,2.000000
35.888580,,,0.000000,0.300000,
35.954620,0.000000,347.100000,,,2.000000
35.988640,,,0.000000,0.300000,
36.055350,0.000000,347.100000,,,2.000000
36.088620,,,0.000000,0.300000,
36.154660,0.000000,347.100000,,,2.000000
36.188580,,,0.000000,0.300000,
36.254770,0.000000,347.100000,,,2.000000
36.288540,,,0.000000,0.300000,
36.354610,0.000000,347.100000,,,2.000000
36.388630,,,0.000000,0.300000,
36.454660,0.000000,347.100000,,,2.000000
36.488610,,,0.000000,0.300000,
36.554640,0.000000,347.100000,,,2.000000
36.588580,,,0.000000,0.300000,
36.655340,0.000000,347.100000,,,2.000000
36.688570,,,0.000000,0.300000,
36.754630,0.000000,347.100000,,,2.000000
36.788610,,,0.000000,0.300000,
36.854670,0.000000,347.100000,,,2.000000
36.888510,,,0.000000,0.300000,
36.954620,0.000000,347.200000,,,2.000000
36.988550,,,0.000000,0.300000,
37.054640,0.000000,347.100000,,,2.000000
37.088530,,,0.000000,0.300000,
37.154580,0.000000,347.100000,,,2.000000
37.188530,,,0.000000,0.300000,
37.255330,0.000000,347.100000,,,2.000000
37.288500,,,0.000000,0.300000,
37.354670,0.000000,347.100000,,,2.000000
37.388530,,,0.000000,0.300000,
37.454640,0.000000,347.100000,,,2.000000
37.488440,,,0.000000,0.300000,
37.554590,0.000000,347.200000,,,2.000000
